## E1  the matter decides the crowd, not the water: alive at 30,000 s between 2,080 and 4,460 in 4 of 5, and births by 1,000 s at least 40 in every seed. Round 38 read 1,597 to 1,642, mean 1,623.
arm	alive at 30000	in 2080-4460	births by 1000 s	>= 40	alive at 5000	ratio to r38 mean	peak alive	at	min alive after 5000	max alive after 5000
r39-s1	1920	NO	380	yes	1693	1.183	2035	27500	1693	2035
r39-s2	2276	yes	313	yes	1567	1.402	2281	29900	1567	2281
r39-s3	2523	yes	654	yes	2286	1.555	2679	19000	2262	2679
r39-s4	2550	yes	745	yes	2502	1.571	2703	8600	2349	2703
r39-s5	2714	yes	491	yes	2416	1.672	2732	27200	2416	2732
count	alive in band 4 of 5 (bar 4)	births >= 40 5 of 5 (bar 5)

## E1's companion reading: the matter against the births over the first 3,000 s. mat blk is a per-window count of blocked conceptions and scales with the population, so it is read against births in the same window (CLAUDE.md).
arm	t	births in window	mat blk in window	blocked per birth	mat short	mat here	mat cv	mat resid
r39-s2	200	27	986	36.5	0	0.086	0.115	0
r39-s2	300	34	4183	123.0	0	0.071	0.168	0
r39-s2	400	38	10947	288.1	0	0.053	0.199	0
r39-s2	500	38	17889	470.8	0	0.038	0.218	0
r39-s2	600	32	24733	772.9	0	0.038	0.224	0
r39-s2	700	36	31244	867.9	0	0.038	0.215	0
r39-s2	800	36	36830	1023.1	0	0.033	0.213	0
r39-s2	900	36	42886	1191.3	0	0.031	0.198	0
r39-s2	1000	31	49004	1580.8	0	0.034	0.181	0
r39-s2	1100	38	55564	1462.2	0	0.032	0.18	0
r39-s2	1200	48	61725	1285.9	0	0.014	0.171	0
r39-s2	1300	31	67423	2174.9	0	0.029	0.155	0
r39-s2	1400	33	73988	2242.1	0	0.026	0.135	0
r39-s2	1500	41	79331	1934.9	0	0.027	0.105	0
r39-s2	1600	32	83244	2601.4	0	0.027	0.094	0
r39-s2	1700	19	86710	4563.7	0	0.027	0.079	0
r39-s2	1800	20	90897	4544.9	0	0.026	0.066	0
r39-s2	1900	18	94657	5258.7	0	0.026	0.062	0
r39-s2	2000	28	99553	3555.5	0	0.026	0.067	0
r39-s2	2100	30	102014	3400.5	0	0.026	0.057	0
r39-s2	2200	27	104159	3857.7	0	0.025	0.044	0
r39-s2	2300	29	108008	3724.4	0	0.025	0.039	0
r39-s2	2400	29	111690	3851.4	0	0.025	0.077	0
r39-s2	2500	25	114906	4596.2	0	0.025	0.04	0
r39-s2	2600	35	118419	3383.4	0	0.025	0.048	0
r39-s2	2700	27	122890	4551.5	0	0.025	0.041	0
r39-s2	2800	27	126439	4682.9	0	0.025	0.045	0
r39-s2	2900	32	129088	4034.0	0	0.025	0.044	0
r39-s2	3000	36	132375	3677.1	0	0.025	0.046	0
r39-s3	100	9	854	94.9	0	0.092	0.049	0
r39-s3	200	19	2184	114.9	0	0.081	0.097	0
r39-s3	300	35	4675	133.6	0	0.069	0.141	0
r39-s3	400	61	7061	115.8	0	0.055	0.173	0
r39-s3	500	80	13836	172.9	0	0.051	0.234	0
r39-s3	600	74	27911	377.2	0	0.03	0.238	0
r39-s3	700	125	40421	323.4	0	0.035	0.223	0
r39-s3	800	124	48314	389.6	0	0.036	0.174	0
r39-s3	900	80	58169	727.1	0	0.031	0.178	0
r39-s3	1000	47	72766	1548.2	0	0.028	0.149	0
r39-s3	1100	65	84563	1301.0	0	0.027	0.131	0
r39-s3	1200	49	93548	1909.1	0	0.027	0.107	0
r39-s3	1300	34	101829	2995.0	0	0.027	0.1	0
r39-s3	1400	40	107916	2697.9	0	0.027	0.107	0
r39-s3	1500	50	116217	2324.3	0	0.026	0.099	0
r39-s3	1600	45	124646	2769.9	0	0.027	0.095	0
r39-s3	1700	43	133282	3099.6	0	0.026	0.096	0
r39-s3	1800	54	140007	2592.7	0	0.026	0.105	0
r39-s3	1900	66	147613	2236.6	0	0.025	0.072	0
r39-s3	2000	59	154806	2623.8	0	0.026	0.062	0
r39-s3	2100	62	161559	2605.8	0	0.025	0.076	0
r39-s3	2200	58	166929	2878.1	0	0.025	0.077	0
r39-s3	2300	65	173163	2664.0	0	0.025	0.077	0
r39-s3	2400	64	177388	2771.7	0	0.026	0.073	0
r39-s3	2500	63	182392	2895.1	0	0.025	0.083	0
r39-s3	2600	82	188355	2297.0	0	0.024	0.101	0
r39-s3	2700	74	193340	2612.7	0	0.025	0.076	0
r39-s3	2800	69	197915	2868.3	0	0.025	0.068	0
r39-s3	2900	61	201999	3311.5	0	0.024	0.075	0
r39-s3	3000	71	205558	2895.2	0	0.025	0.063	0
r39-s4	100	8	1060	132.5	0	0.094	0.045	0
r39-s4	200	16	918	57.4	0	0.089	0.067	0
r39-s4	300	36	1584	44.0	0	0.081	0.115	0
r39-s4	400	67	4140	61.8	0	0.071	0.167	0
r39-s4	500	84	11486	136.7	0	0.055	0.208	0
r39-s4	600	89	23307	261.9	0	0.045	0.219	0
r39-s4	700	102	34514	338.4	0	0.038	0.22	0
r39-s4	800	101	48654	481.7	0	0.036	0.22	0
r39-s4	900	119	61187	514.2	0	0.031	0.198	0
r39-s4	1000	123	69704	566.7	0	0.033	0.179	0
r39-s4	1100	89	79017	887.8	0	0.035	0.156	0
r39-s4	1200	86	87956	1022.7	0	0.032	0.143	0
r39-s4	1300	80	95654	1195.7	0	0.029	0.129	0
r39-s4	1400	88	105307	1196.7	0	0.029	0.137	0
r39-s4	1500	72	113271	1573.2	0	0.028	0.119	0
r39-s4	1600	74	122178	1651.1	0	0.026	0.119	0
r39-s4	1700	69	131635	1907.8	0	0.027	0.11	0
r39-s4	1800	67	139530	2082.5	0	0.026	0.106	0
r39-s4	1900	55	148223	2695.0	0	0.026	0.104	0
r39-s4	2000	58	156621	2700.4	0	0.026	0.087	0
r39-s4	2100	46	164112	3567.7	0	0.026	0.077	0
r39-s4	2200	51	169861	3330.6	0	0.026	0.085	0
r39-s4	2300	46	177953	3868.5	0	0.026	0.07	0
r39-s4	2400	45	186366	4141.5	0	0.025	0.062	0
r39-s4	2500	47	191277	4069.7	0	0.025	0.078	0
r39-s4	2600	42	198233	4719.8	0	0.025	0.056	0
r39-s4	2700	40	204974	5124.4	0	0.025	0.069	0
r39-s4	2800	45	209321	4651.6	0	0.024	0.06	0
r39-s4	2900	41	209985	5121.6	0	0.025	0.05	0
r39-s4	3000	40	216633	5415.8	0	0.025	0.059	0
r39-s5	100	8	593	74.1	0	0.091	0.052	0
r39-s5	200	22	1663	75.6	0	0.077	0.107	0
r39-s5	300	28	4252	151.9	0	0.07	0.14	0
r39-s5	400	34	7253	213.3	0	0.063	0.15	0
r39-s5	500	59	10563	179.0	0	0.048	0.19	0
r39-s5	600	67	15669	233.9	0	0.035	0.203	0
r39-s5	700	59	23576	399.6	0	0.032	0.211	0
r39-s5	800	70	33613	480.2	0	0.04	0.202	0
r39-s5	900	70	43168	616.7	0	0.035	0.193	0
r39-s5	1000	74	50278	679.4	0	0.031	0.184	0
r39-s5	1100	77	58056	754.0	0	0.032	0.178	0
r39-s5	1200	85	69396	816.4	0	0.029	0.17	0
r39-s5	1300	80	79930	999.1	0	0.027	0.152	0
r39-s5	1400	93	87903	945.2	0	0.027	0.107	0
r39-s5	1500	63	94599	1501.6	0	0.027	0.078	0
r39-s5	1600	50	99845	1996.9	0	0.027	0.076	0
r39-s5	1700	57	103631	1818.1	0	0.027	0.073	0
r39-s5	1800	51	108112	2119.8	0	0.027	0.053	0
r39-s5	1900	48	111819	2329.6	0	0.027	0.05	0
r39-s5	2000	46	115124	2502.7	0	0.026	0.047	0
r39-s5	2100	46	121106	2632.7	0	0.026	0.052	0
r39-s5	2200	48	123747	2578.1	0	0.026	0.064	0
r39-s5	2300	45	128543	2856.5	0	0.026	0.043	0
r39-s5	2400	58	132953	2292.3	0	0.026	0.067	0
r39-s5	2500	56	136887	2444.4	0	0.026	0.053	0
r39-s5	2600	51	144147	2826.4	0	0.026	0.04	0
r39-s5	2700	38	149590	3936.6	0	0.025	0.035	0
r39-s5	2800	44	157058	3569.5	0	0.025	0.043	0
r39-s5	2900	44	160679	3651.8	0	0.025	0.049	0
r39-s5	3000	48	161991	3374.8	0	0.025	0.036	0
